Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Data_Set
"['Pangestuti R.', ' Kim S.-K.']","Pangestuti, Ratih (36239197200); Kim, Se-Kwon (7601599352)",36239197200; 7601599352,Bioactive peptide of marine origin for the prevention and treatment of non-communicable diseases,2017,Marine Drugs,15.0,3,67,,,,84,10.3390/md15030067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016476393&doi=10.3390%2fmd15030067&partnerID=40&md5=1d5903e5f5d2c5338f0c72ca2ae5e127,"Non-communicable diseases (NCD) are the leading cause of death and disability worldwide. The four main leading causes of NCD are cardiovascular diseases, cancers, respiratory diseases and diabetes. Recognizing the devastating impact of NCD, novel prevention and treatment strategies are extensively sought. Marine organisms are considered as an important source of bioactive peptides that can exert biological functions to prevent and treatment of NCD. Recent pharmacological investigations reported cardio protective, anticancer, antioxidative, anti-diabetic, and anti-obesity effects of marine-derived bioactive peptides. Moreover, there is available evidence supporting the utilization of marine organisms and its bioactive peptides to alleviate NCD. Marine-derived bioactive peptides are alternative sources for synthetic ingredients that can contribute to a consumer's well-being, as a part of nutraceuticals and functional foods. This contribution focus on the bioactive peptides derived from marine organisms and elaborates its possible prevention and therapeutic roles in NCD. © 2017 by the authors.",Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85016476393,"Pangestuti, Ratih","Kim, Se-Kwon",,,,,,,,,,,,,,,,SCOPUS
"['Lopez-Santamarina A.', ' Cardelle-Cobas A.', ' Sinisterra-Loaiza L.I.', ' Cepeda A.', ' Miranda J.M.']","Lopez-Santamarina, Aroa (57214803585); Cardelle-Cobas, Alejandra (9736687700); Sinisterra-Loaiza, Laura I. (57220867499); Cepeda, Alberto (7004522396); Miranda, Jose Manuel (56421402300)",57214803585; 9736687700; 57220867499; 7004522396; 56421402300,Functional Properties of Seaweed on Gut Microbiota,2024,Seaweeds and Seaweed-Derived Compounds: Meeting the Growing Need for Healthy Biologically Active Compounds,,,,51,82,31.0,0,10.1007/978-3-031-65529-6_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003348160&doi=10.1007%2f978-3-031-65529-6_3&partnerID=40&md5=8743550c2f7fb99bf9cc2297bee37501,"Since it has been linked to a variety of advantages for human health, seaweed consumption has grown in Western nations. Seaweeds are typically divided into three phylum-level groupings based on their natural pigmentation: red seaweed (Rhodophyta), brown seaweed (Phaeophyta), and green seaweed (Chlorophyta), with brown seaweed being the most prevalent. These seaweeds as, explained in the previous chapter, contains different bioactive compounds, not only due to their chemical nature, but also because marine algae produce a wide range of different metabolites to survive in extreme marine environments. Among these compounds are polysaccharides, polyunsaturated fatty acids, different antioxidants compounds as phlorotannins and bioactive peptides. These components have shown their potential preventive effects against cardiovascular diseases, hypertension, obesity, diabetes and even cancer. In the last years, biomedical research has led to advances in the knowledge of the gut microbiota showing that it acts in a symbiotic way with the host and playing a fundamental role in health and disease. It is clear is that a balanced microbiota is fundamental in the prevention of these pathologies. Therefore, the scientific community is in the search of new strategies or therapies for improving the composition of the gut microbiota. One of these strategies is the use of functional foods or ingredients as modulators. In this sense, the seaweed, and their components, especially, the polysaccharides, which are not absorbed in the small intestine, have arisen as potential prebiotics since these compounds seems to exert a positive effect in the gut microbiota in in vitro and in vivo animal studies. The present chapter outlines current knowledge about the effect of seaweed and seaweed derived compounds as potential modulators of the gut microbiota. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Book chapter,Final,,Scopus,2-s2.0-105003348160,"Lopez-Santamarina, Aroa","Cardelle-Cobas, Alejandra","Sinisterra-Loaiza, Laura I.","Cepeda, Alberto","Miranda, Jose Manuel",,,,,,,,,,,,,SCOPUS
"['Rauf A.', ' Khalil A.A.', ' Khan M.', ' Anwar S.', ' Alamri A.', ' Alqarni A.M.', ' Alghamdi A.', ' Alshammari F.', ' Rengasamy K.R.R.', ' Wan C.']","Rauf, Abdur (58630344600); Khalil, Anees Ahmed (57189730703); Khan, Muneeb (57222324344); Anwar, Sirajudheen (54411804400); Alamri, Abdulwahab (57205441611); Alqarni, Abdulmalik M. (57204497870); Alghamdi, Adel (57222958434); Alshammari, Farhan (57514504100); Rengasamy, Kannan R. R. (57574957600); Wan, Chunpeng (36731790300)",58630344600; 57189730703; 57222324344; 54411804400; 57205441611; 57204497870; 57222958434; 57514504100; 57574957600; 36731790300,Can be marine bioactive peptides (MBAs) lead the future of foodomics for human health?,2022,Critical Reviews in Food Science and Nutrition,62.0,25,,7072,7116,44.0,18,10.1080/10408398.2021.1910482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104264968&doi=10.1080%2f10408398.2021.1910482&partnerID=40&md5=bf89ac287d1ceb8ca8cd055d7f403218,"Marine organisms are considered a cache of biologically active metabolites with pharmaceutical, functional, and nutraceutical properties. Among these, marine bioactive peptides (MBAs) present in diverse marine species (fish, sponges, cyanobacteria, fungi, ascidians, seaweeds, & mollusks) have acquired attention owing to their broad-spectrum health-promoting benefits. Nowadays, scientists are keener exploring marine bioactive peptides precisely due to their unique structural and biological properties. These MBAs have reported ameliorating potential against different diseases like hypertension, diabetes, obesity, HIV, cancer, oxidation, and inflammation. Furthermore, MBAs isolated from various marine organisms may also have a beneficial role in the cosmetic, nutraceutical, and food industries. Few marine peptides and their derivative are approved for commercial use, while many MBAs are in various pre-clinical and clinical trials. This review mainly focuses on the diversity of marine bioactive peptides in marine organisms and their production procedures, such as chemical and enzymatic hydrolysis. Moreover, MBAs' therapeutic and biological potential has also been critically discussed herein, along with their status in drug discovery, pre-clinical and clinical trials. © 2021 Taylor & Francis Group, LLC.",Review,Final,,Scopus,2-s2.0-85104264968,"Rauf, Abdur","Khalil, Anees Ahmed","Khan, Muneeb","Anwar, Sirajudheen","Alamri, Abdulwahab","Alqarni, Abdulmalik M.","Alghamdi, Adel","Alshammari, Farhan","Rengasamy, Kannan R. R.","Wan, Chunpeng",,,,,,,,SCOPUS
"['Flores-Holguín N.', ' Frau J.', ' Glossman-Mitnik D.']","Flores-Holguín, Norma (56000825900); Frau, Juan (7004553045); Glossman-Mitnik, Daniel (57205068194)",56000825900; 7004553045; 57205068194,Computational prediction of bioactivity scores and chemical reactivity properties of the parasin i therapeutic peptide of marine origin through the calculation of global and local conceptual dft descriptors,2019,Theoretical Chemistry Accounts,138.0,6,78,1,9,8.0,26,10.1007/s00214-019-2469-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070078612&doi=10.1007%2fs00214-019-2469-3&partnerID=40&md5=c31edcd3c37bce60565e5b666a8836ae,"Eight density functionals, CAM-B3LYP, LC-ωPBE, M11, MN12SX, N12SX, ωB97, ωB97X, and ωB97XD, related to the Def2TZVP basis sets, were assessed together with the SMD solvation model for the calculation of the molecular properties and structure of the therapeutic peptide of marine origin Parasin I. All the chemical reactivity descriptors for the system are calculated via conceptual density functional theory (CDFT). The active sites suitable for nucleophilic, electrophilic, and radical attacks are selected by linking them with the Fukui function indices, nucleophilic and electrophilic Parr functions, and condensed dual descriptor Δf (r), respectively. The study reveals that the MN12SX and N12SX density functionals are the most appropriate ones for predicting the chemical reactivity of the molecule under study. Additionally, the pKa value for the peptide is predicted with great accuracy based on our previously published methodology. Moreover, the ability of the studied molecule in acting as an efficient inhibitor of the formation of advanced glycation endproducts (AGEs), which constitutes a useful knowledge for the development of drugs for fighting diabetes, Alzheimer and Parkinson diseases is also presented. Finally, the bioactivity scores for Parasin I are predicted through different methodologies. © Springer-Verlag GmbH Germany, part of Springer Nature 2019.",Article,Final,,Scopus,2-s2.0-85070078612,"Flores-Holguín, Norma","Frau, Juan","Glossman-Mitnik, Daniel",,,,,,,,,,,,,,,SCOPUS
"['Neves A.C.', ' Harnedy P.A.', ' FitzGerald R.J.']","Neves, A.C. (57191248449); Harnedy, P.A. (8702765600); FitzGerald, R.J. (7202576944)",57191248449; 8702765600; 7202576944,Marine Processing Proteinaceous By-Products: A Source of Biofunctional Food Ingredients,2016,Protein Byproducts: Transformation from Environmental Burden Into Value-Added Products,,,,63,86,23.0,2,10.1016/B978-0-12-802391-4.00004-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034010235&doi=10.1016%2fB978-0-12-802391-4.00004-5&partnerID=40&md5=146df1e462523ea8a68c4a76246100d2,"Large quantities of by-products from the fish and shellfish processing industries are generated annually. These consist of heads, bones, viscera, gills, muscle, belly flaps, and skin of different fish species, along with shells and byssus from shellfish, in addition to catch below the standard for trade. Given the rapid increase in aquaculture in the last decade, it is expected that 99.33 million tons of by-products will be generated annually by 2022. Currently, the by-products are discarded or used mainly as fertilizer or animal feed or are further processed for fish oil extraction. However, it is becoming more evident that marine processing by-products are rich reservoirs of structurally diverse biofunctional nitrogenous components, such as proteins, peptides, and amino acids. They can contain significant levels of high-quality protein (10-23% w/w) and may act as substrates for the generation of bioactive peptides. Enzymatic hydrolysis is used for modification of food proteins to improve their physicochemical, bio- and techno-functional as well as sensory properties. With the rapid increase in incidences of metabolic diseases, such as diabetes, hypertension, and dyslipidemia, an opportunity exists to identify new marine-derived bioactive components targeted for the prevention and management of these conditions. Based on published studies, marine by-products from the fish and shellfish industry may have potential as value-added sources of antioxidant, antidiabetic, cardioprotective, and other biofunctional food ingredients. © 2016 Elsevier Inc. All rights reserved.",Book chapter,Final,,Scopus,2-s2.0-85034010235,"Neves, A.C.","Harnedy, P.A.","FitzGerald, R.J.",,,,,,,,,,,,,,,SCOPUS
"['Baravia P.A.', ' Qhabibi F.R.', ' Hadinata E.', ' Helda Katuuk S.H.', ' Alfaray R.I.', ' Rampengan D.D.C.H.', ' Syahputra R.A.', ' Taslim N.A.', ' Tjandrawinata R.R.', ' Tallei T.E.', ' Bukhari A.', ' Nurkolis F.']","Baravia, Pirel Aulia (59566271300); Qhabibi, Faqrizal Ria (57223406841); Hadinata, Edwin (59294064400); Helda Katuuk, Steffinna Heronna (59664118000); Alfaray, Ricky Indra (57215962996); Rampengan, Derren D.C.H. (58951534700); Syahputra, Rony Abdi (57216124200); Taslim, Nurpudji Astuti (57194571794); Tjandrawinata, Raymond Rubianto (6603266135); Tallei, Trina Ekawati (57193317686); Bukhari, Agussalim (16024065100); Nurkolis, Fahrul (57226728465)",59566271300; 57223406841; 59294064400; 59664118000; 57215962996; 58951534700; 57216124200; 57194571794; 6603266135; 57193317686; 16024065100; 57226728465,Algal peptides for future food: Key players and multifaceted agents in the fight against cardiometabolic syndrome,2025,Journal of Agriculture and Food Research,20.0,,101786,,,,1,10.1016/j.jafr.2025.101786,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219504885&doi=10.1016%2fj.jafr.2025.101786&partnerID=40&md5=3102234995e391eeb4f2cdfcd8ce0b9d,"Cardiometabolic syndrome (CMS) is a cluster of metabolic disorders, including obesity, hypertension, oxidative stress, and atherosclerosis, that significantly increase the risk of cardiovascular diseases. Recent studies highlight the therapeutic potential of algae-derived peptides in mitigating these conditions. These bioactive peptides exert anti-obesity effects by enhancing PPAR-γ activity, reducing white adipose tissue (WAT), and regulating malonyl-CoA synthesis in hepatocytes, which is essential for lipid metabolism. Additionally, they activate the AMPK pathway, promoting GLUT-4 translocation and improving insulin sensitivity, thereby reducing the risk of type II diabetes. In terms of cardiovascular health, algae peptides demonstrate potent anti-hypertensive properties by inhibiting renin and angiotensin-converting enzyme (ACE), thereby modulating the renin-angiotensin-aldosterone system (RAAS) and kallikrein-kinin system (KKS). Furthermore, their strong antioxidant activity mitigates oxidative stress by reducing reactive oxygen species (ROS), protecting endothelial cells, and preventing vascular inflammation. These antioxidant effects contribute to their anti-atherosclerotic potential by suppressing atheroma formation and preserving arterial function. © 2025 The Authors",Article,Final,,Scopus,2-s2.0-85219504885,"Baravia, Pirel Aulia","Qhabibi, Faqrizal Ria","Hadinata, Edwin","Helda Katuuk, Steffinna Heronna","Alfaray, Ricky Indra","Rampengan, Derren D.C.H.","Syahputra, Rony Abdi","Taslim, Nurpudji Astuti","Tjandrawinata, Raymond Rubianto","Tallei, Trina Ekawati","Bukhari, Agussalim","Nurkolis, Fahrul",,,,,,SCOPUS
"['Yurika N.', ' Montuori E.', ' Lauritano C.']","Yurika, Nova (59142939800); Montuori, Eleonora (57777870300); Lauritano, Chiara (38861965400)",59142939800; 57777870300; 38861965400,Marine Microalgal Products with Activities against Age-Related Cardiovascular Diseases,2024,Marine Drugs,22.0,5,229,,,,4,10.3390/md22050229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194127784&doi=10.3390%2fmd22050229&partnerID=40&md5=2b04a709af16f128a9cef9c0704fb53f,"Heart disease is one of the leading causes of death worldwide, and it is estimated that 17.9 million people die of it each year. The risk factors for cardiovascular diseases are attributable to an unhealthy and sedentary lifestyle, poor nutrition, stress, genetic predisposition, diabetes, obesity, and aging. Marine microalgae have been the subject of numerous studies for their potential activity against several human diseases. They produce a plethora of primary and secondary metabolites such as essential nutrients, vitamins, pigments, and omega-3 fatty acid. Many of these molecules have antioxidant properties and have been shown to play a role in the prevention of heart diseases. The aim of this review is to summarize recent studies on the discovery of marine microalgal compounds and bioactivities for cardiovascular diseases, including in vitro and in vivo studies, showing and discussing recent discoveries and trends. The most promising results were found for microalgal polysaccharides, peptides and carotenoids. In conclusion, the overall data summarized here show that microalgae-based supplementation has the potential to improve age-related cardiovascular diseases and we expect more clinical studies in the future. © 2024 by the authors.",Review,Final,,Scopus,2-s2.0-85194127784,"Yurika, Nova","Montuori, Eleonora","Lauritano, Chiara",,,,,,,,,,,,,,,SCOPUS
"['Ferreira G.F.', ' Ríos Pinto L.F.', ' Filho R.M.', ' Fregolente L.V.']","Ferreira, Gabriela F. (57202783289); Ríos Pinto, Luisa F. (37059628800); Filho, Rubens Maciel (7003732915); Fregolente, Leonardo V. (13612026300)",57202783289; 37059628800; 7003732915; 13612026300,Microalgal biomass as a source of polyunsaturated fatty acids for industrial application: A mini-review,2019,Chemical Engineering Transactions,74.0,,,163,168,5.0,5,10.3303/CET1974028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067052021&doi=10.3303%2fCET1974028&partnerID=40&md5=ae09c4385e926b7bef0a2666189c5a85,"Microalgal biomass has been considered a potential source of lipids, proteins, and carbohydrates for different industrial applications. Usually, molecules with a possibility of use in food, pharmaceutical, and cosmetic industry are added-value products that can make microalgae large-scale production economically viable. Examples of molecules present in microalgae biomass are triglycerides rich in Polyunsaturated Fatty Acids (PUFAs) widely studied due to the benefits to human health, including prevention of cardiovascular diseases and diabetes. Some marine microalgae such as Isochrysis sp., Nannochloropsis sp. and diatom Phaeodactylum tricornutum are known to exhibit high quantities of long-chain PUFA such as Eicosapentaenoic Acid (EPA) and Docosahexaenoic Acid (DHA). In addition, some species show a high content of Monounsaturated Fatty Acids (MUFAs) on lipids, as Botryococcus braunii, which usually contains more than 50% of oleic acid. Other high-value molecules from microalgae biomass are the anti-oxidants and vitamin precursors named carotenoids, such as β-carotene, fucoxanthin, and astaxanthin. Besides lipid material, algal proteins can be used in nutrition depending on amino acid profile, as well as a source of high-value peptides. Also, polysaccharides are used as food additives as they exhibit anti-oxidant properties. This short review focused on the screening of different microalgae species to produce high-value lipids, aiming long-chain fatty acids production of industrial interest. Some aspects are considered in this work, such as biomass productivity and composition together with information on cultivation conditions. Therefore, it may help researchers and process engineers to select the adequate microalgae strain for application in large-scale plants in the food and pharmaceutical industry. Copyright © 2019, AIDIC Servizi S.r.l.",Article,Final,,Scopus,2-s2.0-85067052021,"Ferreira, Gabriela F.","Ríos Pinto, Luisa F.","Filho, Rubens Maciel","Fregolente, Leonardo V.",,,,,,,,,,,,,,SCOPUS
"['Reddy K.T.K.', ' Rakesh K.', ' Prathyusha S.', ' Gupta J.K.', ' Nagasree K.', ' Lokeshvar R.', ' Elumalai S.', ' Prasad P.D.', ' Kolli D.']","Reddy, Konatham Teja Kumar (57216121832); Rakesh, Kamsali (59321371700); Prathyusha, Segu (59275621900); Gupta, Jeetendra Kumar (24398823400); Nagasree, Kasturi (59320653900); Lokeshvar, R. (58560356600); Elumalai, Selvaraja (58897590500); Prasad, P. Dharani (57197429687); Kolli, Deepti (52663569500)",57216121832; 59321371700; 59275621900; 24398823400; 59320653900; 58560356600; 58897590500; 57197429687; 52663569500,Revolutionizing Diabetes Care: The Role of Marine Bioactive Compounds and Microorganisms,2025,Cell Biochemistry and Biophysics,83.0,1,,193,213,20.0,1,10.1007/s12013-024-01508-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203557751&doi=10.1007%2fs12013-024-01508-1&partnerID=40&md5=1da2119a76c01541a9f13daceda84d47,"Diabetes is a metabolic condition characterized by high blood glucose levels. Aquatic products like microalgae, bacteria, seagrasses, macroalgae, corals, and sponges have been investigated for potential anti-diabetic properties. We looked at polyphenols, peptides, pigments, and sterols, as well as other bioactive substances found in marine resources, to see if they could help treat or manage diabetes, in addition to describing the several treatment strategies that alter diabetes and its implications, such as inhibition of protein tyrosine phosphatases 1B (PTP1B), α-glucosidase, α-amylase, dipeptidyl peptidase IV (DPP-IV), aldose reductase, lipase, glycogen synthase kinase 3β (GSK-3β), and insulin resistance prevention, promotion of liver antioxidant capacity, natural killer cell stimulant, anti-inflammatory actions, increased AMP-activated protein kinase (AMPK) phosphorylation and sugar and metabolism of the lipid, reducing oxidative stress, and β-pancreatic cell prevention. This study highlights the revolutionary potential of marine bioactive compounds and microorganisms in transforming diabetes care. We believe in a future in which innovative, sustainable, and efficient therapeutic approaches will result in improved quality of life and better outcomes for people with diabetes mellitus by forging a new path for treatment, utilizing the power of the world’s oceans, and capitalizing on the symbiotic relationship between humans and the marine ecosystem. This study area offers optimism and promising opportunities for transforming diabetes care. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Review,Final,,Scopus,2-s2.0-85203557751,"Reddy, Konatham Teja Kumar","Rakesh, Kamsali","Prathyusha, Segu","Gupta, Jeetendra Kumar","Nagasree, Kasturi","Lokeshvar, R.","Elumalai, Selvaraja","Prasad, P. Dharani","Kolli, Deepti",,,,,,,,,SCOPUS
"['Rathi K.', ' Gupta S.', ' Motghare N.', ' Firdous S.M.']","Rathi, Karishma (57224206433); Gupta, Shraddha (59759896200); Motghare, Nayan (59759896300); Firdous, S.M. (55486492800)",57224206433; 59759896200; 59759896300; 55486492800,Marine-Derived Anti-diabetic Compounds: A Review of Potentials and Prospects,2025,Thalassas,41.0,2,91,,,,0,10.1007/s41208-025-00842-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003885431&doi=10.1007%2fs41208-025-00842-2&partnerID=40&md5=573f5784536d0b88c20718dbb6574234,"Diabetes mellitus is a long-term metabolic condition characterized by high levels of glucose in the blood caused by a lack of insulin or insulin resistance, presenting a major worldwide health issue. Conventional treatments are successful but frequently have restrictions and adverse reactions, highlighting the necessity for new antidiabetic medications. This review discusses the latest progress in using marine-derived compounds for treating diabetes, focusing on active substances found in marine organisms such as algae, invertebrates, and microorganisms. Substances like terpenoids, fucoidans, and marine peptides have displayed promising effects. Specifically, fucoidan from Undaria pinnatifida has been found to enhance insulin sensitivity by 30% in preclinical studies, while peptides from Spirulina platensis have reduced postprandial glucose levels by 25%. These substances display mechanisms such as enzyme blocking and antioxidant properties, showing potential for treating diabetes and combatting drug resistance. Yet, challenges remain in the scalability and cost-efficiency of marine-derived compounds, as finding sustainable extraction methods is difficult and production costs could be higher than those of traditional treatments. The review highlights the importance of progress in green extraction and nanotechnology to improve effectiveness and availability. Incorporating these agents into current treatments has the potential to enhance treatment results, but additional comparative studies on cost and accessibility are necessary to thoroughly assess their clinical viability. This cross-disciplinary study has the potential to use marine biodiversity to create innovative, sustainable solutions for diabetes. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.",Article,Final,,Scopus,2-s2.0-105003885431,"Rathi, Karishma","Gupta, Shraddha","Motghare, Nayan","Firdous, S.M.",,,,,,,,,,,,,,SCOPUS
"['Chilakala R.', ' Moon H.J.', ' Jung M.S.', ' Han J.W.', ' Ko K.H.', ' Lee D.S.', ' Cheong S.H.']","Chilakala, Ramakrishna (58538938200); Moon, Hyeon Jeong (58539232800); Jung, Min Seouk (59196842200); Han, Jong Won (59196842300); Ko, Kang Ho (59196842400); Lee, Dong Sung (35388790400); Cheong, Sun Hee (15758877300)",58538938200; 58539232800; 59196842200; 59196842300; 59196842400; 35388790400; 15758877300,Bioactive Peptides from Meretrix lusoria Enzymatic Hydrolysate as a Potential Treatment for Obesity in db/db Mice,2024,Nutrients,16.0,12,,,,,3,10.3390/nu16121913,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197175346&doi=10.3390%2fnu16121913&partnerID=40&md5=bf68b25b650e763293ff1bede44a0912,"Obesity is acknowledged as a significant risk factor for cardiovascular disease, often accompanied by increased inflammation and diabetes. Bioactive peptides derived from marine animal proteins show promise as safe and effective anti-obesity agents by regulating adipocyte differentiation through the AMPK signaling pathway. Therefore, this study aims to investigate the anti-obesity and anti-diabetic effects of bioactive compounds derived from a Meretrix lusoria Protamex enzymatic hydrolysate (MLP) fraction (≤1 kDa) through a 6-week treatment (150 mg/kg or 300 mg/kg, administered once daily) in leptin receptor-deficient db/db mice. The MLP treatment significantly decreased the body weight, serum total cholesterol, triglycerides, and LDL-cholesterol levels while also exhibiting a beneficial effect on hepatic and serum marker parameters in db/db mice. A histological analysis revealed a reduction in hepatic steatosis and epididymal fat following MLP treatment. Furthermore, poor glucose tolerance was improved, and hepatic antioxidant enzyme activities were elevated in MLP-treated mice compared to db/db control mice. Western blot analysis showed an increased expression of the AMPK protein after MLP treatment. In addition, the expression of lipogenic genes decreased in db/db mice. These findings indicate that bioactive peptides, which are known to regulate blood glucose levels, lipid metabolism, and adipogenesis, could be beneficial functional food additives and pharmaceuticals.",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85197175346,"Chilakala, Ramakrishna","Moon, Hyeon Jeong","Jung, Min Seouk","Han, Jong Won","Ko, Kang Ho","Lee, Dong Sung","Cheong, Sun Hee",,,,,,,,,,,SCOPUS
"['Jin L.', ' Zheng D.', ' Yang G.', ' Li W.', ' Yang H.', ' Jiang Q.', ' Chen Y.', ' Zhang Y.', ' Xie X.']","Jin, Lin (57212313618); Zheng, Dongxiao (57204182812); Yang, Guanyu (57212309163); Li, Wei (57201905859); Yang, Huan (57208820199); Jiang, Qian (57218194329); Chen, Yongjun (57204401249); Zhang, Yingxia (57194148269); Xie, Xi (57200821006)",57212313618; 57204182812; 57212309163; 57201905859; 57208820199; 57218194329; 57204401249; 57194148269; 57200821006,Tilapia Skin Peptides Ameliorate Diabetic Nephropathy in STZ-Induced Diabetic Rats and HG-Induced GMCs by Improving Mitochondrial Dysfunction,2020,Marine Drugs,18.0,7,363,,,,17,10.3390/md18070363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088216841&doi=10.3390%2fmd18070363&partnerID=40&md5=f0e49b91fe57304638e54ba84218505f,"Diabetic nephropathy (DN) is one of the major microvascular complications of diabetes, and mitochondrial dysfunction has been observed in the kidneys of diabetic patients. Tilapia skin peptides (TSPs) are mixtures of small-molecular-weight peptides derived from tilapia skin. Rising evidence suggests that bioactive peptides from marine sources are beneficial for DN. This study aimed to investigate whether TSPs can alleviate the pathological progress in experimental DN by improving mitochondrial dysfunction through the activation of Bnip3/Nix signaling. In the current study, TSPs treatment alleviated the metabolic parameters and renal morphology in streptozotocin-induced diabetic rats. Additionally, TSPs treatment significantly activated Bnip3/Nix signaling and improved the mitochondrial morphology, reversed the over-production of mitochondrial superoxide and cellular reactive oxygen species and the decreased mitochondrial membrane potential, thereby inhibiting the expressions of fibronectin, collagen IV and intercellular cell adhesion molecule-1 in glomerular mesangial cells induced by high glucose. Collectively, our results suggest that TSPs show the renoprotective e_ect on DN by improving mitochondrial dysfunction, and they can be a potential therapeutic strategy for DN. © 2020 MDPI AG. All rights reserved.",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85088216841,"Jin, Lin","Zheng, Dongxiao","Yang, Guanyu","Li, Wei","Yang, Huan","Jiang, Qian","Chen, Yongjun","Zhang, Yingxia","Xie, Xi",,,,,,,,,SCOPUS
"['Kula E.', ' Kocadag Kocazorbaz E.', ' Moulahoum H.', ' Alpat S.', ' Zihnioglu F.']","Kula, Elif (57215581318); Kocadag Kocazorbaz, Ebru (57191349507); Moulahoum, Hichem (57188963997); Alpat, Senol (22952840600); Zihnioglu, Figen (6602258835)",57215581318; 57191349507; 57188963997; 22952840600; 6602258835,"Extraction and characterization of novel multifunctional peptides from Trachinus Draco (greater weever) myofibrillar proteins with ACE/DPP4 inhibitory, antioxidant, and metal chelating activities",2020,Journal of Food Biochemistry,44.0,5,e13179,,,,20,10.1111/jfbc.13179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081207052&doi=10.1111%2fjfbc.13179&partnerID=40&md5=cd2f2656f82f625a963a5ae67d15f93a,"Marine organisms represent a great source of natural bioactive molecules, from which bioactive peptides are of great importance in biomedicine application in many diseases such as diabetes and its related complications. In this study, greater weever (Trachinus Draco) myofibrillar proteins were sequentially hydrolyzed and the different RP-HPLC purified fractions were tested for potential inhibitory activities of ACE and DPP4, in addition to metal chelation and antioxidant activities. Four fractions were found to have high levels of activity (with two peptides being multifunctional) and were subsequently sequenced using the de novo sequencing method. The results indicate that the peptides are novel and highly effective for each related activity compared to reference molecules. The current findings suggest these multifunctional peptides as promising therapeutics against oxidative stress, hypertension, and diabetes. Practical applications: We have described the finding of two multifunctional bioactive peptides from Trachinus Draco (greater weever) myofibrillar proteins having two or more activities. They have ACE inhibitory, DPP4 inhibitory, antioxidant, and metal chelation activities. These new peptides could be used for future biomedicine applications as a stand-alone treatment, in combination with other molecules, or as a supplement. Furthermore, after identification of their sequence in our work, it would have a great potential to be artificially synthesized. The field of food supplements could be explored further. © 2020 Wiley Periodicals, Inc.",Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85081207052,"Kula, Elif","Kocadag Kocazorbaz, Ebru","Moulahoum, Hichem","Alpat, Senol","Zihnioglu, Figen",,,,,,,,,,,,,SCOPUS
