Publication Type,Source Title,Publication Year,Article Title,Abstract,DOI_with_Patent,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16
J,JOURNAL OF FUNCTIONAL FOODS,2018.0,Bioactive compounds and biological functions of sea cucumbers as potential functional foods,"Sea cucumbers are a group of economically important invertebrate marine animals that have been widely used as tonic foods in Asia countries. Various bioactive compounds in sea cucumbers including peptides, triterpene glycosides, polysaccharides, phenols, and lipids have been reported. These compounds demonstrate a myriad of salubrious biological functions such as anti-oxidant, anticancer, anti-inflammation, anti-thrombus, anti-microbes, anti-diabetes, anti-obesity, and learning and memory improvement. This review is to provide a comprehensive and most recent update of these biological functions and their associated bioactive compounds. The management practice to keep sustainable sea cucumbers including natural stock fishery and aquaculture were discussed. The extraction and purification of the bioactive compounds were also summarized, providing a perspective of preparing sea cucumber derived nutraceuticals. It is expected that this review can provide academia and industry an insight of sea cucumbers and their potentials in the development of high value nutraceutical products.",10.1016/j.jff.2018.08.009,"Xu, Cheng"," Zhang, Rui"," Wen, Zhiyou",,,,,,,,,,,,,
J,FOOD & FUNCTION,2015.0,"Efficacy and safety of a dieckol-rich extract (AG-dieckol) of brown algae, Ecklonia cava, in pre-diabetic individuals: a double-blind, randomized, placebo-controlled clinical trial","The effects of 12 weeks of supplementation with a dieckol-rich extract (AG-dieckol) from brown algae, Ecklonia cava, on glycemic parameters, serum biochemistry, and hematology were investigated in this study. Eighty pre-diabetic male and female adults were enrolled in a randomized, double-blind, placebo-controlled trial with parallel-group design. Subjects were randomly allocated into two groups designated as placebo and AG-dieckol (1500 mg per day). Compared with the placebo group, the AG-dieckol group showed a significant decrease in postprandial glucose levels after 12 weeks. The AG-dieckol group also showed a significant decrease in insulin and C-peptide levels after 12 weeks, but there was no significant difference between the AG-dieckol and placebo groups. There were no significant adverse events related to the consumption of AG-dieckol, and biochemical and hematological parameters were maintained within the normal range during the intervention period. In conclusion, these results demonstrate that AG-dieckol supplementation significantly contributes to lowering postprandial hyperglycemia and in reducing insulin resistance. Furthermore, we believe that based on these results the consumption of phlorotanninrich foods such as marine algae may be useful for the treatment of diabetes.",10.1039/c4fo00940a,"Lee, Seung-Hong"," Jeon, You-Jin",,,,,,,,,,,,,,
J,FOODS,2023.0,Fucoidan from Laminaria japonica Ameliorates Type 2 Diabetes Mellitus in Association with Modulation of Gut Microbiota and Metabolites in Streptozocin-Treated Mice,"Chronic diseases have been a leading cause of death worldwide, and polysaccharide supplementation is an effective therapeutic strategy for chronic diseases without adverse effects. In this study, the beneficial effect of Laminaria japonica fucoidan (LJF) on type 2 diabetes mellitus (T2DM) was evaluated in streptozocin-treated mice. LJF ameliorated the symptoms of T2DM in a dose-dependent manner, involving reduction in weight loss, water intake, triglyceride, blood glucose, cholesterol and free fatty acids, and increases in high-density lipoprotein cholesterol, catalase, glucagon-like peptide-1, and superoxide dismutase. In addition, LJF regulated the balance between insulin resistance and insulin sensitivity, reduced islet necrosis and beta-cell damage, and inhibited fat accumulation in T2DM mice. The protective effect of LJF on T2DM can be associated with modulation of the gut microbiota and metabolites, e.g., increases in Lactobacillus and Allobaculum. Untargeted and targeted metabolomics analysis showed that the microbiota metabolite profile was changed with LJF-induced microbiota alterations, mainly involving amino acids, glutathione, and glyoxylate and dicarboxylate metabolism pathways. This study indicates that LJF can be used as a prebiotic agent for the prevention and treatment of diabetes and microbiota-related diseases.",10.3390/foods12010033,"Zhang, Chenxi"," Jia, Jinhui"," Zhang, Panpan"," Zheng, Weiyun"," Guo, Xiaoming"," Ai, Chunqing"," Song, Shuang",,,,,,,,,
J,OPHTHALMIC RESEARCH,2023.0,Quantitatively Evaluating the Relationships between Insulin Resistance and Retinal Neurodegeneration with Optical Coherence Tomography in Early Type 2 Diabetes Mellitus,"Introduction: The aim of this study was to quantitatively assess retinal neurodegenerative changes with optical coherence tomography (Cirrus HD-OCT) in type 2 diabetes mellitus (T2DM) patients without diabetic retinopathy (DR) and evaluate their relationships with insulin resistance (IR) and associated systemic indicators. Methods: 102 T2DM patients without DR and 48 healthy controls were included in this observational cross-sectional study. The OCT parameters of macular retinal thickness (MRT) and ganglion cell-inner plexiform layer (GCIPL) thicknesses were evaluated between diabetic and normal eyes. The receiver operating characteristics (ROC) curve was generated to evaluate the discrimination power of early diabetes. Correlation and multiple regression analysis were performed between ophthalmological parameters and T2DM-related demographic and anthropometric variables, and serum biomarkers and homeostasis model assessment of insulin resistance (HOMA-IR) scores. Results: MRT and GCIPL thicknesses showed significant thinning in patients, especially in inferotemporal area. High body mass index (BMI) correlated with decreased GCIPL thicknesses and elevated intraocular pressure (IOP). A negative correlation between waist-to-hip circumference ratio (WHR) and GCIPL thicknesses was also found. High-density lipoprotein (HDL) and fasting C-peptide (CP0) were associated with GCIPL thickness but only in inferotemporal region (r = 0.20, p = 0.04; r = -0.20, p = 0.05, respectively). Multiple regression analysis showed that increased HOMA-IR scores independently predicted both average (beta = -0.30, p = 0.05) and inferotemporal (beta = -0.34, p = 0.03) GCIPL thinning. Conclusion: Retinal thinning in early T2DM was associated with obesity-related metabolic disorders. IR as an independent risk factor for retinal neurodegeneration may increase the risk of developing glaucoma.",10.1159/000530904,"Zheng, Zhaoxia"," Yan, Meng"," Zhang, Duo"," Li, Lu"," Zhang, Lina",,,,,,,,,,,
J,MARINE DRUGS,2020.0,Tilapia Skin Peptides Ameliorate Diabetic Nephropathy in STZ-Induced Diabetic Rats and HG-Induced GMCs by Improving Mitochondrial Dysfunction,"Diabetic nephropathy (DN) is one of the major microvascular complications of diabetes, and mitochondrial dysfunction has been observed in the kidneys of diabetic patients. Tilapia skin peptides (TSPs) are mixtures of small-molecular-weight peptides derived from tilapia skin. Rising evidence suggests that bioactive peptides from marine sources are beneficial for DN. This study aimed to investigate whether TSPs can alleviate the pathological progress in experimental DN by improving mitochondrial dysfunction through the activation of Bnip3/Nix signaling. In the current study, TSPs treatment alleviated the metabolic parameters and renal morphology in streptozotocin-induced diabetic rats. Additionally, TSPs treatment significantly activated Bnip3/Nix signaling and improved the mitochondrial morphology, reversed the over-production of mitochondrial superoxide and cellular reactive oxygen species and the decreased mitochondrial membrane potential, thereby inhibiting the expressions of fibronectin, collagen IV and intercellular cell adhesion molecule-1 in glomerular mesangial cells induced by high glucose. Collectively, our results suggest that TSPs show the renoprotective effect on DN by improving mitochondrial dysfunction, and they can be a potential therapeutic strategy for DN.",10.3390/md18070363,"Jin, Lin"," Zheng, Dongxiao"," Yang, Guanyu"," Li, Wei"," Yang, Huan"," Jiang, Qian"," Chen, Yongjun"," Zhang, Yingxia"," Xie, Xi",,,,,,,
J,MARINE DRUGS,2015.0,A New Member of the TBC1D15 Family from Chiloscyllium plagiosum: Rab GTPase-Activating Protein Based on Rab7 as a Substrate,"APSL (active peptide from shark liver) is a hepatic stimulator cytokine from the liver of Chiloscyllium. It can effectively protect islet cells and improve complications in mice with alloxan-induced diabetes. Here, we demonstrate that the APSL sequence is present in the N-terminus of novel TBC (Tre-2, Bub2 and Cdc16) domain family, member 15 (TBC1D15) from Chiloscylliumplagiosum. This shark TBC1D15 gene, which contains an ORF of 2088 bp, was identified from a cDNA library of regenerating shark liver. Bioinformatic analysis showed that the gene is highly homologous to TBC1D15 genes from other species. Moreover, the N-terminus of shark TBC1D15 contains a motif of unknown function (DUF3548), which encompasses the APSL fragment. Rab-GAP activity analysis showed that shark TBC1D15 is a new member of the TBC1D15 family. These results demonstrated that shark TBC1D15 possesses Rab-GAP activity using Rab7 as a substrate, which is a common property of the TBC1D15 family. The involvement of APSL at the N-terminus of TBC1D15 also demonstrates that this protein might be involved in insulin signaling and may be associated with the development of type 2 diabetes. The current findings pave the way for further functional and clinical studies of these proteins from marine sources.",10.3390/md13052955,"Li, Yuanyuan"," Wang, Weidong"," Cheng, Dandan"," Wang, Tao"," Lu, Conger"," Chen, Jian"," Nie, Zuoming"," Zhang, Wenping"," Lv, Zhengbing"," Wu, Wutong"," Shu, Jianhong",,,,,
J,METABOLISM-CLINICAL AND EXPERIMENTAL,2009.0,"Addition of n-3 fatty acids to a 4-hour lipid infusion does not affect insulin sensitivity, insulin secretion, or markers of oxidative stress in subjects with type 2 diabetes mellitus","Fatty acids (FA) can impair glucose metabolism to a varying degree depending on time of exposure and also of type of FA. Here we tested for acute effects of marine n-3 FA on insulin sensitivity, insulin secretion, energy metabolism, and oxidative stress. This was a randomized, double-blind, crossover study in 11 subjects with type 2 diabetes mellitus. A 4-hour lipid infusion (Intralipid [Fresenius Kabi, Halden, Norway], total of 384 mL) was compared with a similar lipid infusion partly replaced by Omegaven (Fresenius Kabi) that contributed a median of 0.1 g fish oil per kilogram body weight, amounting to 0.04 g/kg of marine n-3 FA. Insulin sensitivity was assessed by isoglycemic hyperinsulinemic clamps; insulin secretion (measured after the clamps), by C-peptide glucagon tests; and energy metabolism, by indirect calorimetry. Infusion of Omegaven increased the proportion of n-3 FA in plasma nonesterified fatty acids (NEFA) compared with Intralipid alone (20:5n-3: median, 1.5% [interquartile range, 0.6%] vs -0.2% [0.2%], P = .001; 22:6n-3: 0.8% [0.4%] vs -0.7% [0.2%], P = .001). However, glucose utilization was not affected; neither was insulin secretion or total energy production (P = .966, .210, and .423, respectively, for the differences between the lipid clamps). Omegaven tended to lower oxidation of fat (P = .062) compared with Intralipid only, correlating with the rise in individual n-3 NEFA (r = 0.627, P = .039). The effects of clamping on phospholipid FA composition, leptin, adiponectin, or F-2-isoprostane concentrations were not affected by Omegaven. Enrichment of NEFA with n-3 FA during a 4-hour infusion of Intralipid failed to affect insulin sensitivity, insulin secretion, or markers of oxidative stress in subjects with type 2 diabetes mellitus. (C) 2009 Elsevier Inc. All rights reserved.",10.1016/j.metabol.2009.06.003,"Mostad, Ingrid L."," Bjerve, Kristian S."," Basu, Samar"," Sutton, Pauline"," Frayn, Keith N."," Grill, Valdemar",,,,,,,,,,
J,THEORETICAL CHEMISTRY ACCOUNTS,2019.0,Computational prediction of bioactivity scores and chemical reactivity properties of the Parasin I therapeutic peptide of marine origin through the calculation of global and local conceptual DFT descriptors,"Eight density functionals, CAM-B3LYP, LC-PBE, M11, MN12SX, N12SX, B97, B97X, and B97XD, related to the Def2TZVP basis sets, were assessed together with the SMD solvation model for the calculation of the molecular properties and structure of the therapeutic peptide of marine origin Parasin I. All the chemical reactivity descriptors for the system are calculated via conceptual density functional theory (CDFT). The active sites suitable for nucleophilic, electrophilic, and radical attacks are selected by linking them with the Fukui function indices, nucleophilic and electrophilic Parr functions, and condensed dual descriptor f(r), respectively. The study reveals that the MN12SX and N12SX density functionals are the most appropriate ones for predicting the chemical reactivity of the molecule under study. Additionally, the pKa value for the peptide is predicted with great accuracy based on our previously published methodology. Moreover, the ability of the studied molecule in acting as an efficient inhibitor of the formation of advanced glycation endproducts (AGEs), which constitutes a useful knowledge for the development of drugs for fighting diabetes, Alzheimer and Parkinson diseases is also presented. Finally, the bioactivity scores for Parasin I are predicted through different methodologies.",10.1007/s00214-019-2469-3,"Flores-Holguin, Norma"," Frau, Juan"," Glossman-Mitnik, Daniel",,,,,,,,,,,,,
J,REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,2013.0,Seaweeds as potential therapeutic interventions for the metabolic syndrome,"Seaweeds are a characteristic part of the traditional diet in countries such as Japan and Korea; these countries also have a lower prevalence of metabolic syndrome than countries such as the USA and Australia. This suggests that seaweeds may contain compounds that reduce the characteristic signs of obesity, diabetes, hypertension, fatty liver and inflammation in the metabolic syndrome. Potentially bioactive compounds from seaweeds include polysaccharides, peptides, pigments, minerals and omega-3 fatty acids. This review emphasises current research on these compounds in isolated cells, animal models and patients. Key problems for future research include chemical characterisation of the bioactive principles, defining pharmacological responses in all aspects of the metabolic syndrome, determining if a therapeutic dose has been administered, and defining oral bioavailability of the active ingredients.",10.1007/s11154-013-9254-8,"Kumar, Senthil Arun"," Brown, Lindsay",,,,,,,,,,,,,,
J,APPLIED SCIENCES-BASEL,2022.0,Therapeutic Potential of Seaweed-Derived Bioactive Compounds for Cardiovascular Disease Treatment,"Cardiovascular diseases are closely related to hypertension, type 2 diabetes mellitus, obesity, and hyperlipidemia. Many studies have reported that an unhealthy diet and sedentary lifestyle are critical factors that enhance these diseases. Recently, many bioactive compounds isolated from marine seaweeds have been studied for their benefits in improving human health. In particular, several unique bioactive metabolites such as polyphenols, polysaccharides, peptides, carotene, and sterol are the most effective components responsible for these activities. This review summarizes the current in vitro, in vivo, and clinical studies related to the protective effects of bioactive compounds isolated from seaweeds against cardiovascular disorders, including anti-diabetic, anti-hypertensive, anti-hyperlipidemia, and anti-obesity effects. Therefore, this present review summarizes these concepts and provides a basis for further in-depth research.",10.3390/app12031025,"Cho, Chi-Heung"," Lu, Yu-An"," Kim, Ming-Yeong"," Jeon, You-Jin"," Lee, Sang-Hoon",,,,,,,,,,,
J,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,2019.0,Meat protein based bioactive peptides and their potential functional activity: a review,"Bioactive peptides are the general name for the short amino acid sequences, which could be generated from the hydrolysis of parent proteins including beef, pork, mutton, chicken, duck and various species of marine organisms. Drying, curing, ripening and fermentation are particular procedures for meat flavour and also important for the releasing of bioactive peptides from parent proteins. Once being released, the peptides would play bioactive roles beyond their nutritional values. The physiological activities of meat-derived peptides have been demonstrated to have antioxidative, antihypertensive, antimicrobial, opioid, antithrombotic and other bioactive effects. The regulation on immunological, gastrointestinal and neurological responses of those bioactive peptides supplies a vital base for the prevention of hypertension, obesity, diabetes and other metabolic disorders. In this review, we summarised the current studies on meat derived bioactive peptides along with their physiological functions to supply the overall understanding of the health benefit of bioactive peptides.",10.1111/ijfs.14132,"Xing, Lujuan"," Liu, Rui"," Cao, Songmin"," Zhang, Wangang", Zhou Guanghong,,,,,,,,,,,
J,MARINE DRUGS,2012.0,Marine Bioactives: Pharmacological Properties and Potential Applications against Inflammatory Diseases,"Inflammation is a hot topic in medical research, because it plays a key role in inflammatory diseases: rheumatoid arthritis (RA) and other forms of arthritis, diabetes, heart diseases, irritable bowel syndrome, Alzheimer's disease, Parkinson's disease, allergies, asthma, even cancer and many others. Over the past few decades, it was realized that the process of inflammation is virtually the same in different disorders, and a better understanding of inflammation may lead to better treatments for numerous diseases. Inflammation is the activation of the immune system in response to infection, irritation, or injury, with an influx of white blood cells, redness, heat, swelling, pain, and dysfunction of the organs involved. Although the pathophysiological basis of these conditions is not yet fully understood, reactive oxygen species (ROS) have often been implicated in their pathogenesis. In fact, in inflammatory diseases the antioxidant defense system is compromised, as evidenced by increased markers of oxidative stress, and decreased levels of protective antioxidant enzymes in patients with rheumatoid arthritis (RA). An enriched diet containing antioxidants, such as vitamin E, vitamin C, beta-carotene and phenolic substances, has been suggested to improve symptoms by reducing disease-related oxidative stress. In this respect, the marine world represents a largely untapped reserve of bioactive ingredients, and considerable potential exists for exploitation of these bioactives as functional food ingredients. Substances such as n-3 oils, carotenoids, vitamins, minerals and peptides provide a myriad of health benefits, including reduction of cardiovascular diseases, anticarcinogenic and anti-inflammatory activities. New marine bioactives are recently gaining attention, since they could be helpful in combating chronic inflammatory degenerative conditions. The aim of this review is to examine the published studies concerning the potential pharmacological properties and application of many marine bioactives against inflammatory diseases.",10.3390/md10040812,"D'Orazio, Nicolantonio"," Gammone, Maria Alessandra"," Gemello, Eugenio"," De Girolamo, Massimo"," Cusenza, Salvatore"," Riccioni, Graziano",,,,,,,,,,
J,TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2018.0,Evaluation of the in vitro α-Amylase Enzyme Inhibition Potential of Commercial Dried Laver (Porphyra Species) Seaweed Protein Hydrolysate,"Modulating alpha-amylase enzyme activity with bioactive peptides of protein hydrolysate is one of a viable strategy in the management of diabetes through the control of postprandial glucose level. In this study, four proteolytic enzymes (pepsin, neutrase, alcalase and trypsin) were used to investigate the in vitro alpha-amylase inhibition of dried laver seaweed (Porphyra species) protein hydrolysates. Pepsin hydrolysate showed effective inhibition rate at an IC50 value of 1.86 mg/mL protein as compared to other enzyme hydrolysate. This hydrolysate was fractionated in to three groups in molecular weight (MW) cutoff of 5 and 10 kDa (MW<5kDa, MW = 5-10kDa and MW>10kDa). The MW<5kDa showed better inhibition rate with IC50 value of 1.18mg/mL. This fraction (MW<5kDa) was further separated to three fractions (F-I, F-II & F-III) using gel chromatography on Sephadex G-25. F-III achieved higher alpha-amylase inhibition at an IC50 value of 0.87mg/mL. The MW distribution of F-III showed the smallest MW fractions of 90-1000Da. It can be concluded that pepsin hydrolysate of seaweed protein demonstrated a high potential in inhibiting a alpha-amylase activity, and thus, could be used as an ingredient for development of functional foods having anti-hyperglycaemic effect.",10.4194/1303-2712-v18_4_06,"Admassu, Habtamu"," Gasmalla, Mohammed Abdalbasit A."," Yang, Ruijin"," Zhao, Wei",,,,,,,,,,,,
J,JOURNAL OF AGRICULTURE AND FOOD RESEARCH,2025.0,Algal peptides for future food: Key players and multifaceted agents in the fight against cardiometabolic syndrome,"Cardiometabolic syndrome (CMS) is a cluster of metabolic disorders, including obesity, hypertension, oxidative stress, and atherosclerosis, that significantly increase the risk of cardiovascular diseases. Recent studies highlight the therapeutic potential of algae-derived peptides in mitigating these conditions. These bioactive peptides exert anti-obesity effects by enhancing PPAR-gamma activity, reducing white adipose tissue (WAT), and regulating malonylCoA synthesis in hepatocytes, which is essential for lipid metabolism. Additionally, they activate the AMPK pathway, promoting GLUT-4 translocation and improving insulin sensitivity, thereby reducing the risk of type II diabetes. In terms of cardiovascular health, algae peptides demonstrate potent anti-hypertensive properties by inhibiting renin and angiotensin-converting enzyme (ACE), thereby modulating the renin-angiotensinaldosterone system (RAAS) and kallikrein-kinin system (KKS). Furthermore, their strong antioxidant activity mitigates oxidative stress by reducing reactive oxygen species (ROS), protecting endothelial cells, and preventing vascular inflammation. These antioxidant effects contribute to their anti-atherosclerotic potential by suppressing atheroma formation and preserving arterial function.",10.1016/j.jafr.2025.101786,"Baravia, Pirel Aulia"," Qhabibi, Faqrizal Ria"," Hadinata, Edwin"," Katuuk, Steffinna Heronna Helda"," Alfaray, Ricky Indra"," Rampengan, Derren D. C. H."," Syahputra, Rony Abdi"," Taslim, Nurpudji Astuti"," Tjandrawinata, Raymond Rubianto"," Tallei, Trina Ekawati"," Bukhari, Agussalim"," Nurkolis, Fahrul",,,,
J,CARDIOVASCULAR DIABETOLOGY,2024.0,Biomarkers of glucose-insulin homeostasis and incident type 2 diabetes and cardiovascular disease: results from the Vitamin D and Omega-3 trial,"BackgroundDysglycemia and insulin resistance increase type 2 diabetes (T2D) and cardiovascular disease (CVD) risk, yet associations with specific glucose-insulin homeostatic biomarkers have been inconsistent. Vitamin D and marine omega-3 fatty acids (n-3 FA) may improve insulin resistance. We sought to examine the association between baseline levels of insulin, C-peptide, HbA1c, and a novel insulin resistance score (IRS) with incident cardiometabolic diseases, and whether randomized vitamin D or n-3 FA modify these associations.MethodsVITamin D and OmegA-3 TriaL (NCT01169259) was a randomized clinical trial testing vitamin D and n-3 FA for the prevention of CVD and cancer over a median of 5.3 years. Incident cases of T2D and CVD (including cardiovascular death, myocardial infarction, stroke, and coronary revascularization) were matched 1:1 on age, sex, and fasting status to controls. Conditional logistic regressions adjusted for demographic, clinical, and adiposity-related factors were used to assess the adjusted odds ratio (aOR) per-standard deviation (SD) and 95%CI of baseline insulin, C-peptide, HbA1c, and IRS (Insulinx0.0295 + C-peptidex0.00372) with risk of T2D, CVD, and coronary heart disease (CHD).ResultsWe identified 218 T2D case-control pairs and 715 CVD case-control pairs including 423 with incident CHD. Each of the four biomarkers at baseline was separately associated with incident T2D, aOR (95%CI) per SD increment: insulin 1.46 (1.03, 2.06), C-peptide 2.04 (1.35, 3.09), IRS 1.72 (1.28, 2.31) and HbA1c 7.00 (3.76, 13.02), though only HbA1c remained statistically significant with mutual adjustments. For cardiovascular diseases, we only observed significant associations of HbA1c with CVD (1.19 [1.02, 1.39]), and IRS with CHD (1.25 [1.04, 1.50]), which persisted after mutual adjustment. Randomization to vitamin D and/or n-3 FA did not modify the association of these biomarkers with the endpoints.ConclusionsEach of insulin, C-peptide, IRS, and HbA1c were associated with incident T2D with the strongest association noted for HbA1c. While HbA1c was significantly associated with CVD risk, a novel IRS appears to be associated with CHD risk. Neither vitamin D nor n-3 FA modified the associations between these biomarkers and cardiometabolic outcomes.",10.1186/s12933-024-02470-1,"Qian, Frank"," Guo, Yanjun"," Li, Chunying"," Liu, Yanyan"," Luttmann-Gibson, Heike"," Gomelskaya, Natalya"," Demler, Olga V."," Cook, Nancy R."," Lee, I-Min"," Buring, Julie E."," Larsen, Julia"," Boring, Jennifer"," McPhaul, Michael J."," Manson, JoAnn E."," Pradhan, Aruna D."," Mora, Samia"
J,DIABETOLOGIA,2015.0,Polyphenol-rich diets improve glucose metabolism in people at high cardiometabolic risk: a controlled randomised intervention trial,"Aim/hypothesis Dietary polyphenols and long chain n-3 polyunsaturated fatty acids (LCn3) are associated with lower cardiovascular risk. This may relate to their influence on glucose metabolism and diabetes risk. We evaluated the effects of diets naturally rich in polyphenols and/or LCn3 of marine origin on glucose metabolism in people at high cardiometabolic risk.Methods According to a 2 x 2 factorial design, individuals with high waist circumference and at least one more component of the metabolic syndrome were recruited at the obesity outpatient clinic. Eighty-six participants were randomly assigned by MINIM software to an isoenergetic diet: (1) control, low in LCn3 and polyphenol (analysed n = 20); (2) rich in LCn3 (n = 19); (3) rich in polyphenols (n = 19); or (4) rich in LCn3 and polyphenols (n = 19). The assigned diets were known for the participants and blinded for people doing measurements. Before and after the 8 week intervention, participants underwent a 3 h OGTT and a test meal with a similar composition as the assigned diet for the evaluation of plasma glucose, insulin and glucagon-like peptide 1 (GLP-1) concentrations, and indices of insulin sensitivity and beta cell function.Results During OGTT, polyphenols significantly reduced plasma glucose total AUC (p = 0.038) and increased early insulin secretion (p = 0.048), while LCn3 significantly reduced beta cell function (p = 0.031) (two-factor ANOVA). Moreover, polyphenols improved post-challenge oral glucose insulin sensitivity (OGIS; p = 0.05 vs control diet by post hoc ANOVA). At test meal, LCn3 significantly reduced GLP-1 total postprandial AUC (p < 0.001; two-factor ANOVA).Conclusion/interpretation Diets naturally rich in polyphenols reduce blood glucose response, likely by increasing early insulin secretion and insulin sensitivity. These effects may favourably influence diabetes and cardiovascular risk. The implications of the decrease in insulin secretion and postprandial GLP-1 observed with diets rich in marine LCn3 need further clarification.",10.1007/s00125-015-3592-x,"Bozzetto, Lutgarda"," Annuzzi, Giovanni"," Pacini, Giovanni"," Costabile, Giuseppina"," Vetrani, Claudia"," Vitale, Marilena"," Griffo, Ettore"," Giacco, Angela"," De Natale, Claudia"," Cocozza, Sara"," Della Pepa, Giuseppe"," Tura, Andrea"," Riccardi, Gabriele"," Rivellese, Angela A.",,
J,LIPIDS IN HEALTH AND DISEASE,2022.0,Effects of marine-derived and plant-derived omega-3 polyunsaturated fatty acids on erythrocyte fatty acid composition in type 2 diabetic patients,"Background: Dietary fatty acids intake affects the composition of erythrocyte fatty acids, which is strongly correlated with glycolipid metabolism disorders. This study aimed at investigating the different effects of marine-derived and plant-derived omega-3 polyunsaturated fatty acid (n-3 PUFA) on the fatty acids of erythrocytes and glycolipid metabolism in patients with type 2 diabetes mellitus (T2DM).Methods: The randomized double-blinded trial that was performed on 180 T2DM patients. The participants were randomly assigned to three groups for the six-month intervention. The participants were randomly assigned to three groups for the six-month intervention. The fish oil (FO) group was administered with FO at a dose of 3 g/day containing eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), the perilla oil (PO) group was administered with PO at a dose of 3 g/day containing alpha-linolenic (ALA), the linseed and fish oil (LFO) group was administered with mixed linseed and fish oil at a dose of 3 g/day containing EPA, DHA and ALA. Demographic information were collected and anthropometric indices, glucose and lipid metabolism indexes, erythrocyte fatty acid composition were measured. Statistical analyses were performed using two-way ANOVA.Results: A total of 150 patients finished the trial, with 52 of them in the FO group, 50 in the PO group and 48 in the LFO group. There were significant effects of time x treatment interaction on fast blood glucose (FBG), insulin, HOMA-IR and C-peptide, TC and triglyceride (TG) levels (P < 0.001). Glucose and C-peptide in PO and LFO groups decreased significantly and serum TG in FO group significantly decreased (P < 0.001) after the intervention. Erythrocyte C22: 5 n-6, ALA, DPA, n-6/n-3 PUFA, AA/EPA levels in the PO group were significantly higher than FO and LFO groups, while EPA, total n-3 PUFA and Omega-3 index were significantly higher in the FO and LFO groups compared to PO group.Conclusion: Supplementation with perilla oil decreased FBG while fish oil supplementation decreased the TG level. Marine-based and plant-based n-3 PUFAs exhibit different effects on fatty acid compositions of erythrocytes and regulated glycolipid metabolism.",10.1186/s12944-022-01630-0,"Liu, Hechun"," Wang, Feng"," Liu, Xiaosong"," Xie, Yulan"," Xia, Hui"," Wang, Shaokang"," Sun, Guiju",,,,,,,,,
J,MOLECULAR NUTRITION & FOOD RESEARCH,2022.0,Green Alga Enteromorpha prolifera Oligosaccharide Ameliorates Ageing and Hyperglycemia through Gut-Brain Axis in Age-Matched Diabetic Mice,"Scope To investigate the anti-ageing and anti-diabetic effects of Enteromorpha prolifera oligosaccharide (EPO) in age-matched streptozocin-induced diabetic mice. Methods and Results LC-MS metabolomics and 16S rRNA sequencing is used to identify the brain metabolites and gut microbiota, respectively. EPO could significantly improve glucose metabolism and activity of total superoxide dismutase in serum. It also could regulate the tricarboxylic acid cycle, arginine, and inosine-related metabolic pathways in the brain of aged diabetic mice. Inosine is found to enhance the relative expressions of daf-2, daf-16, and skn-1 in insulin-resistant Caenorhabditis elegans. Additionally, EPO could alter the composition and diversity of gut microbiota in mice. It could upregulate the Signal Transducer and Activator of Transcription 3/Forkhead Box O1 (FOXO1)/B cell lymphoma 6 (Bcl-6) pathways in the brain and the c-Jun N-terminal Kinase (JNK)/FOXO1/Bcl-6 signaling axis in the intestine to regulate glucose metabolite status and ageing in mice. EPO could also improve the levels of glucagon-like peptide type 1 (GLP1) expression in the gut, thereby inducing high expression of GLP1 receptor in the brain to control glucose metabolites through the brain-gut axis. Enterococcus is negatively correlated with AMP in the brain and could be a potential hallmark species in age-related diabetes. Conclusions These results suggest that EPO could be a potential novel natural drug for the treatment of diabetes in the elderly.",10.1002/mnfr.202100564,"Ouyang, Yuezhen"," Liu, Dan"," Zhang, Lizhu"," Li, Xiaoqing"," Chen, Xinhua"," Zhao, Chao",,,,,,,,,,
J,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,2016.0,Recent Research in Antihypertensive Activity of Food Protein-derived Hydrolyzates and Peptides,"Year to year obesity prevalence, reduced physical activities, bad habits/or stressful lifestyle, and other environmental and physiological impacts lead to increase in diseases such as coronary heart disease, stroke, cancer, diabetes, and hypertension worldwide. Hypertension is considered as one of the most common serious chronic diseases; however, discovery of medications with high efficacy and without side effects for treatment of patients remains a challenge for scientists. Recent trends in functional foods have evidenced that food bioactive proteins play a major role in the concepts of illness and curing; therefore, nutritionists, biomedical scientists, and food scientists are working together to develop improved systems for the discovery of peptides with increased potency and therapeutic benefits. This review presents a recent research carried out to date for the purpose of isolation and identification of bioactive hydrolyzates and peptides with angiotensin I converting enzyme inhibitory activity and antihypertensive effect from animal, marine, microbial, and plant food proteins. Effects of food processing and hydrolyzation conditions as well as some other impacts on formation, activity, and stability of these hydrolyzates and peptides are also presented.",10.1080/10408398.2012.724478,"Saleh, Ahmed S. M."," Zhang, Qing"," Shen, Qun",,,,,,,,,,,,,
