Journal,Year,Title,Abstract,DOI,Document Type,Data_Set,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30
"Bioscience, biotechnology, and biochemistry",2025,"Liraglutide enhances myotube differentiation and muscle contractile activity upon 
      electric pulse stimulation in mouse skeletal muscle cells.
","Glucagon-like peptide-1 (GLP-1) is a potent incretin hormone produced by L-cells 
      in the ileum and colon. Skeletal muscle, the most important organ for glucose 
      metabolism, is also affected by GLP-1. Short-term administration of liraglutide, 
      a GLP-1 analog, ameliorated glucose uptake in palmitate-treated type II diabetes 
      models; however, the influence of long-term liraglutide administration on normal 
      muscle cells has not been evaluated. We analyzed the effects of chronic (3 
      consecutive days) administration of liraglutide at various concentrations on 
      healthy C2C12 skeletal muscle cells by investigating morphological changes, 
      muscle contractile properties, and glucose uptake. Liraglutide administration at 
      an appropriate dose (0.5 μM) had positive effects, including the promotion of 
      muscle hypertrophy, in C2C12 cells; however, excessive administration (10 μM) had 
      atrophic effects. Therefore, proper liraglutide dosing is very important.",10.1093/bbb/zbaf060,article,PubMed,"Mukai, Risa","Kojima, Ayumu","Morisasa, Mizuki","Tawara, Wakako","Mori, Tsukasa","Goto-Inoue, Naoko",,,,,,,,,,,,,,,,,,,,,,,,
Frontiers in endocrinology,2013,"Ratiometric Measurements of Adiponectin by Mass Spectrometry in Bottlenose 
      Dolphins (Tursiops truncatus) with Iron Overload Reveal an Association with 
      Insulin Resistance and Glucagon.","High molecular weight (HMW) adiponectin levels are reduced in humans with type 2 
      diabetes and insulin resistance. Similar to humans with insulin resistance, 
      managed bottlenose dolphins (Tursiops truncatus) diagnosed with hemochromatosis 
      (iron overload) have higher levels of 2 h post-prandial plasma insulin than 
      healthy controls. A parallel reaction monitoring assay for dolphin serum 
      adiponectin was developed based on tryptic peptides identified by mass 
      spectrometry. Using identified post-translational modifications, a differential 
      measurement was constructed. Total and unmodified adiponectin levels were 
      measured in sera from dolphins with (n = 4) and without (n = 5) iron overload. 
      This measurement yielded total adiponectin levels as well as site specific 
      percent unmodified adiponectin that may inversely correlate with HMW adiponectin. 
      Differences in insulin levels between iron overload cases and controls were 
      observed 2 h post-prandial, but not during the fasting state. Thus, post-prandial 
      as well as fasting serum adiponectin levels were measured to determine whether 
      adiponectin and insulin would follow similar patterns. There was no difference in 
      total adiponectin or percent unmodified adiponectin from case or control fasting 
      animals. There was no difference in post-prandial total adiponectin levels 
      between case and control dolphins (mean ± SD) at 763 ± 298 and 727 ± 291 pmol/ml, 
      respectively (p = 0.91); however, percent unmodified adiponectin was 
      significantly higher in post-prandial cases compared to controls (30.0 ± 6.3 
      versus 17.0 ± 6.6%, respectively; p = 0.016). Interestingly, both total and 
      percent unmodified adiponectin were correlated with glucagon levels in controls 
      (r = 0.999, p  < 0.001), but not in cases, which is possibly a reflection of 
      insulin resistance. Although total adiponectin levels were not significantly 
      different, the elevated percent unmodified adiponectin follows a trend similar to 
      HMW adiponectin reported for humans with metabolic disorders.",10.3389/fendo.2013.00132 ,article,PubMed,"Neely, Benjamin A","Carlin, Kevin P","Arthur, John M","McFee, Wayne E","Janech, Michael G",,,,,,,,,,,,,,,,,,,,,,,,,
Metabolism: clinical and experimental,2009,"Addition of n-3 fatty acids to a 4-hour lipid infusion does not affect insulin 
      sensitivity, insulin secretion, or markers of oxidative stress in subjects with 
      type 2 diabetes mellitus.","Fatty acids (FA) can impair glucose metabolism to a varying degree depending on 
      time of exposure and also of type of FA. Here we tested for acute effects of 
      marine n-3 FA on insulin sensitivity, insulin secretion, energy metabolism, and 
      oxidative stress. This was a randomized, double-blind, crossover study in 11 
      subjects with type 2 diabetes mellitus. A 4-hour lipid infusion (Intralipid 
      [Fresenius Kabi, Halden, Norway], total of 384 mL) was compared with a similar 
      lipid infusion partly replaced by Omegaven (Fresenius Kabi) that contributed a 
      median of 0.1 g fish oil per kilogram body weight, amounting to 0.04 g/kg of 
      marine n-3 FA. Insulin sensitivity was assessed by isoglycemic hyperinsulinemic 
      clamps; insulin secretion (measured after the clamps), by C-peptide glucagon 
      tests; and energy metabolism, by indirect calorimetry. Infusion of Omegaven 
      increased the proportion of n-3 FA in plasma nonesterified fatty acids (NEFA) 
      compared with Intralipid alone (20:5n-3: median, 1.5% [interquartile range, 0.6%] 
      vs -0.2% [0.2%], P = .001; 22:6n-3: 0.8% [0.4%] vs -0.7% [0.2%], P = .001). 
      However, glucose utilization was not affected; neither was insulin secretion or 
      total energy production (P = .966, .210, and .423, respectively, for the 
      differences between the lipid clamps). Omegaven tended to lower oxidation of fat 
      (P = .062) compared with Intralipid only, correlating with the rise in individual 
      n-3 NEFA (r = 0.627, P = .039). The effects of clamping on phospholipid FA 
      composition, leptin, adiponectin, or F(2)-isoprostane concentrations were not 
      affected by Omegaven. Enrichment of NEFA with n-3 FA during a 4-hour infusion of 
      Intralipid failed to affect insulin sensitivity, insulin secretion, or markers of 
      oxidative stress in subjects with type 2 diabetes mellitus.",10.1016/j.metabol.2009.06.003 ,article,PubMed,"Mostad, Ingrid L","Bjerve, Kristian S","Basu, Samar","Sutton, Pauline","Frayn, Keith N","Grill, Valdemar",,,,,,,,,,,,,,,,,,,,,,,,
Journal of the science of food and agriculture,2018,"Investigating inhibitory activity of novel synthetic sericin peptide on 
      α-D-glucosidase: kinetics and interaction mechanism study using a docking 
      simulation.","BACKGROUND: We synthesised a novel sericin peptide (SP-GI) with α-d-glucosidase 
      inhibitory activity, which has a sequence of SEDSSEVDIDLGN. The kinetics of its 
      peptide-induced inhibition on α-d-glucosidase activity and its interaction 
      mechanism merging with molecular docking were both investigated. RESULTS: SP-GI 
      exhibited significant inhibitory activity with an IC(50) of 2.9 ± 0.1 µmol L(-1) 
      and this inhibition was reversible and non-competitive with a K(i) value of 
      1.0 ± 0.1 µmol L(-1) . An interaction study with SP-GI revealed it bound to 
      α-d-glucosidase at a single binding site, resulting in alterations in 
      α-d-glucosidase secondary structure. This led to quenching of intrinsic 
      α-d-glucosidase fluorescence by a static quenching mechanism. Molecular docking 
      results showed that the SP-GI binding site on α-d-glucosidase differed from 
      acarbose, with hydrogen bonding and van der Waals forces being the main binding 
      drivers. CONCLUSION: These findings suggest the potential use for SP-GI or other 
      natural sericin peptides as dietary supplements for the treatment of type 2 
      diabetes. © 2017 Society of Chemical Industry.",10.1002/jsfa.8620 ,article,PubMed,"Xie, Fan","Wang, Shaoyun","Zhang, Li","Wu, Jinhong","Wang, Zhengwu",,,,,,,,,,,,,,,,,,,,,,,,,
Biological & pharmaceutical bulletin,2008,"The stimulatory activities of polysaccharide compounds derived from algae 
      extracts on insulin secretion in vitro.","We prepared two series of polysaccharide compounds derived from algae extracts 
      and investigated their stimulatory activity on insulin secretion in vitro using 
      the rat pancreatic cell line, RIN-5F. Several of the compounds exhibited 
      significant stimulatory activity in a dose-dependent manner without apparent 
      cytotoxicity at concentrations above 10 microM. Glybenclamide, a commonly 
      prescribed sulfonylurea (SU) against diabetes mellitus type II, was used as a 
      positive control and showed moderate cytotoxicity in the cell culture assay 
      system. Amylin (IAPP; islet amyloid polypeptide), an inhibitor for glybenclamide, 
      did not inhibit the activity of the isolated compounds, suggesting that they act 
      through a mechanism(s) different from glybenclamide. Algae-derived extracts could 
      be candidates for a new class of anti-diabetic drugs.",10.1248/bpb.31.921,article,PubMed,"Zhang, Dandan","Fujii, Isao","Lin, Changzheng","Ito, Kaori","Guan, Huashi","Zhao, Ji'en","Shinohara, Makoto","Matsukura, Makoto",,,,,,,,,,,,,,,,,,,,,,
Marine drugs,2022,An Octopus-Derived Peptide with Antidiuretic Activity in Rats,"Discovering new drug candidates with high efficacy and few side effects is a major challenge in new drug development. The two evolutionarily related peptides oxytocin (OXT) and arginine vasopressin (AVP) are known to be associated with a variety of physiological and psychological processes via the association of OXT with three types of AVP receptors. Over decades, many synthetic analogs of these peptides have been designed and tested for therapeutic applications; however, only a few studies of their natural analogs have been performed. In this study, we investigated the bioactivity and usefulness of two natural OXT/AVP analogs that originate from the marine invertebrate Octopus vulgaris, named octopressin (OTP) and cephalotocin (CPT). By measuring the intracellular Ca2+ or cyclic AMP increase in each OXT/AVP receptor subtype–overexpressing cell, we found that CPT, but not OTP, acts as a selective agonist of human AVP type 1b and 2 receptors. This behavior is reminiscent of desmopressin, the most widely prescribed antidiuretic drug in the world. Similar to the case for desmopressin, a single intravenous tail injection of CPT into Sprague-Dawley rats reduced urine output and increased urinary osmolality. In conclusion, we suggest that CPT has a significant antidiuretic effect and that CPT might be beneficial for treating urological conditions such as nocturia, enuresis, and diabetes insipidus. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/md20050328,article,SCOPUS,"Kim, Ye-Ji","Lee, Jei Ha","Jung, Seung-Hyun","Kim, Ki Hyun","Choi, Chang-Hoon","Jo, Seonmi","Woo, Dong Ho",,,,,,,,,,,,,,,,,,,,,,,
Advanced structured materials,2021,Biological Activities of Marine Products and Nutritional Importance,"Bioactive compounds, also known as phyto-nutrients are those compounds which enhance or we can say that promote good health. They are found in a limited amount in plants, animals, marine, and other natural food sources which help in the prevention of many diseases e.g. cancers, cardiac disorders, diabetes, etc. It is well known to us that nearly half of the worldwide biodiversity is constituted by different types of marine species and as a result, oceans, sea are enriched with valuable natural bioactive compounds such as proteins, peptides, amino acids, fatty acids, sterols, oligosaccharides, vitamins, and minerals, etc. These agents also help to enhance the nutritional as well as the therapeutic value of the food products. Every year nearly thousands of new compounds are isolated from a marine organism which further help in the discovery of new leads for the development of new drugs to treat or diagnose human diseases like cancer, viral diseases, inflammation, etc. For example, thyrsiferol, which is isolated from marine red algae (genus: Laurencia) on the experimental studies shows potent anti-viral and anti-tumour activities. Another example is marine sponge (genus: Insignia) which is a good source of terpenoids consisting of tetronic acids which act as anti-inflammatory agent, analgesic, and antibiotics. There are numerous examples of such marine products that are enriched with nutritional values and show many potent biological activities. In this article, we are going to discuss different marine products one by one with their biological and nutritional importances and also their role in the development of new drugs in the treatment of various human diseases. © 2020, The Author(s), under exclusive license to Springer Nature Switzerland AG.",10.1007/978-3-030-54027-2_17,chapter,SCOPUS,"Pal, Dilipkumar","Raj, Khushboo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine niche: applications in pharmaceutical sciences: translational research,2020,Edible Seaweeds as Potential Source of Nutraceuticals,"Edible seaweeds-superfoods of our waterways-are algae, botanically classified majorly into green (Chlorophyta), brown (Phaeophyta) and red (Rhodophyta) groups. They are a rich source of protein, dietary fibre, vitamins, minerals as well as polyphenols, peptides, sterols, PUFA, etc. Seaweeds are a major part of the diet of Southeast Asian countries as well as in parts of Europe, America and Australia. Apart from being a major nutrition source in the human diet, traditional Chinese medicine approves of edible seaweeds having medicinal properties. In recent times, edible algae are being marketed as a rich source of nutraceuticals for their bioactive properties. It has been established that bioactive compounds have a major therapeutic role in the management of a number of human metabolic diseases such as diabetes, cancer, hypertension, etc. Researchers are trying to discover newer bioactive molecules from different sources. Marine life constitutes around 80% of the world biota and edible algae is a major marine flora that can be explored to derive many bioactive compounds and other secondary metabolites for therapeutic applications through optimized harvesting, extraction and recovery for active molecules. The algal bioactive molecules have been widely reviewed to possess antiparasitic, antiinflammatory, anticancer, antioxidant and antidiabetic properties. Thus, opens a vast scope for utilization of bioactive compounds from edible seaweeds for development of nutraceuticals. © Springer Nature Singapore Pte Ltd. 2020.",10.1007/978-981-15-5017-1_10,chapter,SCOPUS,"Saikia, Sangeeta","Mahnot, Nikhil Kumar","Sahu, Ravi Kumar","Kalita, Jatin",,,,,,,,,,,,,,,,,,,,,,,,,,
Molecular medicine reports,2017,Marine collagen peptides reduce endothelial cell injury in diabetic rats by inhibiting apoptosis and the expression of coupling factor 6 and microparticles,"The present study aimed to elucidate the role of marine collagen peptides (MCPs) in protection of carotid artery vascular endothelial cells (CAVECs) in type 2 diabetes mellitus (T2DM), and the mechanism underlying this process. In an in vivo experiment, diabetic Wistar rats were divided randomly into four groups (n=10/group): Diabetes control, and three diabetes groups administered low, medium and high doses of MCPs (2.25, 4.5 and 9.0 g/kg body weight/day, respectively). Another 10 healthy rats served as the control. In an in vitro experiment, human umbilical-vein endothelial cells (HUVECs) were incubated in normal and high concentrations of glucose with or without MCPs (3.0, 15.0 and 30.0 mg/ml, respectively) for 24, 48 or 72 h. Blood vessel/endothelial construction, inflammatory exudation and associated molecular biomarkers in CAVECs were detected and analyzed. The results of the present study demonstrated that in rats, MCP treatment for 4 weeks significantly lowered blood glucose and attenuated endothelial thinning and inflammatory exudation in carotid-artery vascular endothelial cells. In vitro, the high-glucose intervention significantly increased cell apoptosis in HUVECs, and medium and high doses of MCPs (4.5 and 9.0 g/kg body weight/day, respectively) partially ameliorated this high glucose-mediated apoptosis and decreased levels of apoptosis biomarkers. In conclusion, a moderate oral MCP dose (>4.5 g/kg body weight/day) may be a novel therapeutic tool to protect against early cardiovascular complications associated with T2DM by inhibiting apoptosis and reducing the expression of coupling factor 6 and microparticles.",10.3892/mmr.2017.7061,article,SCOPUS,"Zhu, Cuifeng","Zhang, Wei","Liu, Jianguo","Mu, Bo","Zhang, Fan","Lai, Nannan","Zhou, Jianxin","Xu, Aimin","Li, Yong",,,,,,,,,,,,,,,,,,,,,
Multidisciplinary applications of marine resources: a step towards green and sustainable future,2024,Potential Seaweed-Derived Bioactive Compounds for Pharmaceutical Applications,"Seaweeds, also known as marine macroalgae, have been recognized for centuries as a valuable resource with diverse applications. The pharmaceutical industry is increasingly seeking novel, natural compounds for drug development. Seaweeds are rich sources of bioactive compounds, such as polysaccharides, polyphenols, peptides, and lipids, which exhibit a wide range of biological activities. This chapter explores the potential of seaweed-derived bioactive compounds for pharmaceutical applications and their antiviral, antibacterial, anti-inflammatory, antioxidant, and anticancer capabilities, underscoring their potential in combatting a spectrum of ailments. For diabetes, these compounds have been shown to possess hypoglycemic properties, contributing to the regulation of blood sugar levels and aid in weight management. Further, they control cell growth and initiate angiogenesis, cutting off blood supply to tumors showing potent anticancer effects. The immunomodulatory and neuroprotective effects have also been discussed, broadening the scope of their application. Finally, the chapter advocates for further research in the field to fully realize the potential of seaweed-derived bioactive compounds as groundbreaking drugs and transformative therapies, revolutionizing the landscape of modern medicine. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.",10.1007/978-981-97-5057-3_10,chapter,SCOPUS,"Saha, Asmita","Sridhar, Bhoomika","Ram, Shristi",,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical reviews in food science and nutrition,2023,"Beneficial effects of fish and fish peptides on main metabolic syndrome associated risk factors: Diabetes, obesity and lipemia","The definition of metabolic syndrome (MetS) fairly varies from one to another guideline and health organization. Per description of world health organization, occurrence of hyperinsulinemia or hyperglycemia in addition to two or more factors of dyslipidemia, hypoalphalipoproteinemia, hypertension and or large waist circumference factors would be defined as MetS. Conventional therapies and drugs, commonly with adverse effects, are used to treat these conditions and diseases. Nonetheless, in the recent decades scientific community has focused on the discovery of natural compounds to diminish the side effects of these medications. Among many available bioactives, biologically active peptides have notable beneficial effects on the management of diabetes, obesity, hypercholesterolemia, and hypertension. Marine inclusive of fish peptides have exerted significant bioactivities in different experimental in-vitro, in-vivo and clinical settings. This review exclusively focuses on studies from the recent decade investigating hypoglycemic, hypolipidemic, hypercholesterolemic and anti-obesogenic fish and fish peptides. Related extraction, isolation, and purification methodologies of anti-MetS fish biopeptides are reviewed herein for comparison purposes only. Moreover, performance of biopeptides in simulated gastrointestinal environment and structure-activity relationship along with absorption, distribution, metabolism, and excretion properties of selected oligopeptides have been discussed, in brief, to broaden the knowledge of readers on the design and discovery trends of anti-MetS compounds. Supplemental data for this article is available online at https://doi.org/10.1080/10408398.2022.2052261. © 2022 Taylor & Francis Group, LLC.",10.1080/10408398.2022.2052261,review,SCOPUS,"Abachi, Soheila","Pilon, Geneviève","Marette, André","Bazinet, Laurent","Beaulieu, Lucie",,,,,,,,,,,,,,,,,,,,,,,,,
"Protein digestion-derived peptides: chemistry, bioactivity, and health effects",2024,Bioactive peptides released from seaweeds during gastrointestinal digestion,"Macroalgae are sustainable and natural sources of proteins, their content may reach values up to 40% of their total weight. Besides, they are especially attractive for their rich and abundant amount of essential amino acids with proportions of 30%–40% which are comparable to other terrestrial organisms, such as legumes. Hence, protein from macroalgae is a highly valuable resource that can be used as food ingredients but also as a matrix to obtain protein hydrolysates (PHs) and so bioactive peptides (BAPs). Hydrolyzation usually implies a pretreatment of the macroalgae to later apply a chemical or biological hydrolyzation followed by purification. The laborious procedure to obtain PHs and BAPs has been demonstrated to be profitable since it implies an improvement in the associated biological properties when compared to the untreated proteins. Among the enhanced qualities, PHs and BAPs have high digestibility ranges (~80%) which was related to better bioaccessibility and so to improved bioactivities. Among them, antioxidant, antiobesity, antidiabetic, hypotensive, and antiinflammatory stand out and, even though antiplatelet or anticancer have been scarcely explored, they have been proven too. Therefore the high content and quality of macroalgae proteins point to these marine organisms as a valuable source to obtain PHs and BAPs with huge potential to design functional products aimed to improve health status or prevent the development of chronic and global ailments, such as obesity, diabetes, or cardiovascular diseases, which strongly impact in the human well-being. © 2024 Elsevier Inc. All rights reserved.",10.1016/B978-0-443-19141-1.00013-3,chapter,SCOPUS,"Fraga-Corral, María","Silva, Aurora","Echave, Javier","Cassani, Lucia","Xiao, Jianbo","Simal-Gandara, Jesus","Prieto, Miguel Angel",,,,,,,,,,,,,,,,,,,,,,,
Nutrients,2021,Edible microalgae and their bioactive compounds in the prevention and treatment of metabolic alterations,"Marine and freshwater algae and their products are in growing demand worldwide because of their nutritional and functional properties. Microalgae (unicellular algae) will constitute one of the major foods of the future for nutritional and environmental reasons. They are sources of high-quality protein and bioactive molecules with potential application in the modern epidemics of obesity and diabetes. They may also contribute decisively to sustainability through carbon dioxide fixation and minimization of agricultural land use. This paper reviews current knowledge of the effects of consuming edible microalgae on the metabolic alterations known as metabolic syndrome (MS). These microalgae include Chlorella, Spirulina (Arthrospira) and Tetraselmis as well as Isochrysis and Nannochloropsis as candidates for human consumption. Chlorella biomass has shown antioxidant, antidiabetic, immunomodulatory, antihypertensive, and antihyperlipidemic effects in humans and other mammals. The components of microalgae reviewed suggest that they may be effective against MS at two levels: in the early stages, to work against the development of insulin resistance (IR), and later, when pancreatic-cell function is already compromised. The active components at both stages are antioxidant scavengers and anti-inflammatory lipid mediators such as carotenoids and-3 PUFAs (eicosapentaenoic acid/docosahexaenoic acid; EPA/DHA), prebiotic polysaccharides, phenolics, antihypertensive peptides, several pigments such as phycobilins and phycocyanin, and some vitamins, such as folate. As a source of high-quality protein, including an array of bioactive molecules with potential activity against the modern epidemics of obesity and diabetes, microalgae are proposed as excellent foods for the future. Moreover, their incorporation into the human diet would decisively contribute to a more sustainable world because of their roles in carbon dioxide fixation and reducing the use of land for agricultural purposes. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/nu13020563,review,SCOPUS,"Ramos-Romero, Sara","Torrella, Joan Ramon","Pagès, Teresa","Viscor, Ginés","Torres, Josep Lluís",,,,,,,,,,,,,,,,,,,,,,,,,
Journal of food science and technology,2017,Effects of marine collagen peptides on glucose metabolism and insulin resistance in type 2 diabetic rats,"The present study was conducted to investigate the effects of marine collagen peptides (MCPs) on glucose metabolism and insulin resistance using a rat model of type 2 diabetes mellitus (T2DM). Forty T2DM obese Wistar rats were randomly assigned to receive varying doses of MCPs or a vehicle control for 4 weeks. Blood glucose and insulin levels, as well as oxidative stress and inflammation were measured. The expression of glucose transporter type 4 (GLUT4) in skeletal muscles and peroxisome proliferator-activated receptor-α (PPAR-α) in livers of T2DM rats was also measured. It was found that in the group of 9.0 g/kg/day MCPs significantly improved glucose, insulin, and homeostatic model assessment-insulin resistance, and increased the insulin sensitivity index (ISI). In addition, the groups of 4.5 and 2.25 g/kg/day MCPs significantly improved liver steatosis. It was also found that MCPs decreased expression of oxidative stress biomarkers and inflammatory cytokines and adipocytokines in T2DM rats. In conclusion, medium and high doses of MCPs (≥4.5 g/kg/day) improved glucose metabolism and insulin sensitivity in T2DM rats. These beneficial effects of MCPs may be mediated by decreasing oxidative stress and inflammation and by up-regulating GLUT4, and PPAR-α activity. © 2017, Association of Food Scientists & Technologists (India).",10.1007/s13197-017-2663-z,article,SCOPUS,"Zhu, Cui Feng","Zhang, Wei","Mu, Bo","Zhang, Fan","Lai, Nan Nan","Zhou, Jian Xin","Xu, Ai Min","Liu, Jian Guo","Li, Yong",,,,,,,,,,,,,,,,,,,,,
Recent advances in micro and macroalgal processing: food and health perspectives,2021,Role of Algal Derived Compounds in Pharmaceuticals and Cosmetics,"Macro- and microalgae contain a variety of biologically active compounds that are of great interest in the prevention of diseases and therefore are potential candidates for the development of pharmaceutical preparations, either as medicines or as nutraceuticals. Some epidemiological studies indicate that consumption of algae can protect from certain diseases such as allergies, cardiovascular diseases, cancer, obesity, diabetes, high blood pressure, atopic dermatitis, or Alzheimer’s disease, and this has led to in vitro and in vivo studies, to research their possible mechanisms of action. Even though clinical trials are scarce, the pharmaceutical industry is keen on developing drugs of natural origin from marine organisms (e.g. Adcetris®), with fewer side effects or less toxicity to humans. Macro- and microalgae contain a variety of bioactive compounds: polysaccharides; phenolic compounds such as phlorotannins; diverse pigments such as the chlorophylls and carotenoids, including fucoxanthin; mycosporine-like amino acids; halogenated compounds; proteins, peptides, and amino acids; essential and long-chain marine polyunsaturated fatty acids; sterols; and other lipids, vitamins, and minerals that could be putative active ingredients for the pharmaceutical industry. Moreover, the cosmetics industry is studying algal compounds as a source of ingredients for potential use in cosmeceutical preparations such as phloroglucinol, porphyran, astaxanthin, and fucoxanthin.This chapter summarizes current knowledge on algal compounds of interest for the formulation of pharmaceutical and cosmeceutical preparations. © 2021 JohnWiley and Sons, Ltd.",10.1002/9781119542650.ch19,chapter,SCOPUS,"Mourelle, María Lourdes","Gómez, Carmen P.","Legido, José L.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular diabetology,2024,Biomarkers of glucose-insulin homeostasis and incident type 2 diabetes and cardiovascular disease: results from the Vitamin D and Omega-3 trial,"Background: Dysglycemia and insulin resistance increase type 2 diabetes (T2D) and cardiovascular disease (CVD) risk, yet associations with specific glucose-insulin homeostatic biomarkers have been inconsistent. Vitamin D and marine omega-3 fatty acids (n-3 FA) may improve insulin resistance. We sought to examine the association between baseline levels of insulin, C-peptide, HbA1c, and a novel insulin resistance score (IRS) with incident cardiometabolic diseases, and whether randomized vitamin D or n-3 FA modify these associations. Methods: VITamin D and OmegA-3 TriaL (NCT01169259) was a randomized clinical trial testing vitamin D and n-3 FA for the prevention of CVD and cancer over a median of 5.3 years. Incident cases of T2D and CVD (including cardiovascular death, myocardial infarction, stroke, and coronary revascularization) were matched 1:1 on age, sex, and fasting status to controls. Conditional logistic regressions adjusted for demographic, clinical, and adiposity-related factors were used to assess the adjusted odds ratio (aOR) per-standard deviation (SD) and 95%CI of baseline insulin, C-peptide, HbA1c, and IRS (Insulin×0.0295 + C-peptide×0.00372) with risk of T2D, CVD, and coronary heart disease (CHD). Results: We identified 218 T2D case-control pairs and 715 CVD case-control pairs including 423 with incident CHD. Each of the four biomarkers at baseline was separately associated with incident T2D, aOR (95%CI) per SD increment: insulin 1.46 (1.03, 2.06), C-peptide 2.04 (1.35, 3.09), IRS 1.72 (1.28, 2.31) and HbA1c 7.00 (3.76, 13.02), though only HbA1c remained statistically significant with mutual adjustments. For cardiovascular diseases, we only observed significant associations of HbA1c with CVD (1.19 [1.02, 1.39]), and IRS with CHD (1.25 [1.04, 1.50]), which persisted after mutual adjustment. Randomization to vitamin D and/or n-3 FA did not modify the association of these biomarkers with the endpoints. Conclusions: Each of insulin, C-peptide, IRS, and HbA1c were associated with incident T2D with the strongest association noted for HbA1c. While HbA1c was significantly associated with CVD risk, a novel IRS appears to be associated with CHD risk. Neither vitamin D nor n-3 FA modified the associations between these biomarkers and cardiometabolic outcomes. © The Author(s) 2024.",10.1186/s12933-024-02470-1,article,SCOPUS,"Qian, Frank","Guo, Yanjun","Li, Chunying","Liu, Yanyan","Luttmann-Gibson, Heike","Gomelskaya, Natalya","Demler, Olga V.","Cook, Nancy R.","Lee, I-Min","Buring, Julie E.","Larsen, Julia","Boring, Jennifer","McPhaul, Michael J.","Manson, JoAnn E.","Pradhan, Aruna D.","Mora, Samia",,,,,,,,,,,,,,
Marine drugs,2023,Antidiabetic Effect of Collagen Peptides from Harpadon nehereus Bones in Streptozotocin-Induced Diabetes Mice by Regulating Oxidative Stress and Glucose Metabolism,"Oxidative stress and abnormal glucose metabolism are the important physiological mechanisms in the occurrence and development of diabetes. Antioxidant peptides have been reported to attenuate diabetes complications by regulating levels of oxidative stress, but few studies have focused on peptides from marine bone collagen. In this study, we prepared the peptides with a molecular weight of less than 1 kD (HNCP) by enzymolysis and ultrafiltration derived from Harpadon nehereus bone collagen. Furthermore, the effects of HNCP on blood glucose, blood lipid, liver structure and function, oxidative stress, and glucose metabolism were studied using HE staining, kit detection, and Western blotting experiment in streptozocin-induced type 1 diabetes mice. After the 240 mg/kg HNCP treatment, the levels of blood glucose, triglyceride (TG), and low-density lipoprotein cholesterol (LDL-C) in streptozotocin-induced diabetes mice decreased by 32.8%, 42.2%, and 43.2%, respectively, while the levels of serum insulin and hepatic glycogen increased by 142.0% and 96.4%, respectively. The antioxidant enzymes levels and liver function in the diabetic mice were markedly improved after HNCP intervention. In addition, the levels of nuclear factor E2-related factor 2 (Nrf2), glucokinase (GK), and phosphorylation of glycogen synthase kinase-3 (p-GSK3β) in the liver were markedly up-regulated after HNCP treatment, but the glucose-6-phosphatase (G6Pase) and phosphoenolpyruvate carboxykinase1 (PEPCK1) were down-regulated. In conclusion, HNCP could attenuate oxidative stress, reduce blood glucose, and improve glycolipid metabolism in streptozocin-induced type 1 diabetes mice. © 2023 by the authors.",10.3390/md21100518,article,SCOPUS,"Lin, Qianxia","Guo, Yueping","Li, Jie","He, Shuqi","Chen, Yan","Jin, Huoxi",,,,,,,,,,,,,,,,,,,,,,,,
Journal of functional foods,2018,Bioactive compounds and biological functions of sea cucumbers as potential functional foods,"Sea cucumbers are a group of economically important invertebrate marine animals that have been widely used as tonic foods in Asia countries. Various bioactive compounds in sea cucumbers including peptides, triterpene glycosides, polysaccharides, phenols, and lipids have been reported. These compounds demonstrate a myriad of salubrious biological functions such as anti-oxidant, anticancer, anti-inflammation, anti-thrombus, anti-microbes, anti-diabetes, anti-obesity, and learning and memory improvement. This review is to provide a comprehensive and most recent update of these biological functions and their associated bioactive compounds. The management practice to keep sustainable sea cucumbers including natural stock fishery and aquaculture were discussed. The extraction and purification of the bioactive compounds were also summarized, providing a perspective of preparing sea cucumber derived nutraceuticals. It is expected that this review can provide academia and industry an insight of sea cucumbers and their potentials in the development of high value nutraceutical products. © 2018 Elsevier Ltd",10.1016/j.jff.2018.08.009,review,SCOPUS,"Xu, Cheng","Zhang, Rui","Wen, Zhiyou",,,,,,,,,,,,,,,,,,,,,,,,,,,
